Date,Text,Text Normalization,Label_Bert,Encoded_Label
04/2024,"Kopken lebih enak drpd ini menurut ku karena kopken masih ada pait2 matcha nya (the best aku oatside matcha latte no sugar less ice. Harus less sugar / no sugar ya kalo ga maniss). Kalo fore itu enak sih, tp lebih berasa creamy susunya, matcha nya ga berasa, jd kaya minum susu",kopi kenangan enak ku kopi kenangan pait2 matcha nya best oatside matcha latte gula ice gula gula iya maniss fore enak sih berasa creamy susunya matcha nya berasa kaya minum susu,positive,2
05/2024,Aku pernah beli fore pas pertama kali huhu,beli fore pas huhu,positive,2
05/2024,"fore, kopken, janjiw",fore kopi kenangan janjiw,neutral,1
02/2024,"- Point coffee : matcha frappe - Tomoro : blm pernah - Fore : butterscotch sea salt latte - Haus : kitkat haus (tapi skrng kyknya udah gaada, diganti beng beng klo gasalah) - Es.Teh Indonesia : chizu redvelved",point coffee coffee matcha frappe tomoro fore butterscotch sea salt latte haus kitkat haus skrng kyknya uang diganti beng beng gasalah esteh indonesia chizu redvelved,positive,2
03/2024,point coffee nder enak! fore juga ada frappe nya,point coffee coffee enak fore frappe nya,positive,2
04/2024,"TUKU MY LOVE TERUS FORE TERUS NAKO BOLEHLAH, arabica enak tp ovp jd kayaknya beda tingkatan sama mereka deh harusnya masuknya",tuku my love fore nako arabica enak ovp kayaknya beda tingkatan deh masuknya,negative,0
04/2024,Fore & Point Coffee masih jagoanku,fore point coffee coffee jagoanku,positive,2
05/2024,fore aja nder udah,fore,negative,0
04/2024,fore sih karena bisa membuat BAB ku jd lancar dan mata always on,fore sih membuat bab ku lancar mata always on,positive,2
12/2024,fore juniornya enak,fore juniornya enak,positive,2
01/2024,"Fore, kenangan, janji jiwa, jco, tomoro coffee, roti o, cafe lokal di daerah lu",fore kenangan janji jiwa jco tomoro coffee roti o cafe lokal daerah,positive,2
05/2024,"Fore, tuku, kopken, point",fore tuku kopi kenangan point coffee,neutral,1
04/2024,"Setujuuu bgttt, lebi suka yg lama karena kek punya fore kokoh gitu tebel enak kalo dibawa ga mleyottt",setujuuu bgttt lebi suka fore kokoh tebel enak dibawa mleyottt,positive,2
01/2024,"Fore, tuku, calf, animo. Banyak shay",fore tuku calf animo shay,positive,2
05/2024,"buttercream latte, caramel praline macchiato, pandan latte, aren latte atau buttercream tiramisu latte (req sugar 70%) kak. terakhir minum fore yg varian baru, cappuccino caramello enak jg",buttercream latte caramel praline macchiato pandan latte aren latte buttercream tiramisu latte req gula 70 kak minum fore varian cappuccino caramello enak,positive,2
04/2024,FORE gila strong bgt,fore gila strong banget,positive,2
04/2024,"Fore, kopken, janjiw, point",fore kopi kenangan janjiw point coffee,neutral,1
04/2024,"point, fore, tuku, tomoro andalanque",point coffee fore tuku tomoro andalanque,neutral,1
11/2024,Dihhh tau gitu td mampir fore,dihhh mampir fore,negative,0
05/2024,"Kopken, couvee, sama point. Skip dulu fore kalo lagi tanggal tua",kopi kenangan couvee point coffee skip fore tanggal tua,negative,0
05/2024,"makjay, fore, kawan",makjay fore kawan,neutral,1
02/2024,- point coffe : as always palm sugar latte + soy milk (kadang) - tomoro : blm nemu yg enak - fore : butterscotch sea salt - haus : green thai tea - es teh ind : sea salt,point coffee coffe as always palm gula latte soy milk kadang tomoro nemu enak fore butterscotch sea salt haus green thai tea es kakak perempuan ind sea salt,positive,2
07/2024,"di samping punya gerd, aku jg bukan penikmat kopi yg intens tapi suka aromanya. Jd pilih yg light, creamy, tapi aman buat gerd gw. TUKU jd pilihan pertama, kedua Fore, Ketiga Fami",samping gerd penikmat kopi intens suka aromanya pilih terang creamy aman gerd tuku pilihan fore fami,positive,2
05/2024,Tuku Calf Fore,tuku calf fore,negative,0
06/2024,Tuku fore sama tomoro. Kalo lagi mode hemat biasanya beli tomoro soalnya bisa cuma 9k,tuku fore tomoro mode hemat beli tomoro 9k,positive,2
05/2024,"Iya bener lagi. Di antara kopi tang lain, paling lama minumnya pasti fore",iya benar kopi tang minumnya fore,positive,2
04/2024,"Fore, point sama kopken. Belum sempet nyobain tuku sama kulo",fore point coffee kopi kenangan nyobain tuku kulo,negative,0
04/2024,fore tomoro janjiw kenangan disini gaada tuku,fore tomoro janjiw kenangan disini uang tuku,negative,0
04/2024,foreee soalnya aku cinta fore,foreee cinta fore,positive,2
04/2024,aku bukan anak kopi tp sejauh ini suka fore siih,anak kopi suka fore siih,positive,2
05/2024,"tuku, kopken, fore, point GABISA PILIH 3",tuku kopi kenangan fore point coffee gabisa pilih 3,neutral,1
04/2024,"Oalah gituu, pankapan cobain deh kak matchanya fore tuh enak bgtt",oalah gituu pankapan cobain deh kak matchanya fore tuh enak bgtt,positive,2
01/2024,"fore, di Bandung daerah DU enak buat nongkrong",fore bandung daerah du enak nongkrong,positive,2
09/2024,Tuku fore point janjiw sbux,tuku fore point coffee janjiw starbucks,neutral,1
05/2024,Calf : - Caramel Jefferson Float - Butterscotch Macchiato - Es kopi Calf Reguler add on Caramel Jump Start : Caramel Macchiato Fore : - Buttercream Tiramisu Latte - Butterscotch Sea Salt Latte Belom ada yg bisa nandingin ini semuwa,calf caramel jefferson float butterscotch macchiato es kopi calf reguler add on caramel jump start caramel macchiato fore buttercream tiramisu latte butterscotch sea salt latte nandingin semuwa,neutral,1
09/2024,"ak SUKA BGT matcha, tp mf kalo fore ak lebih milih butterscotch",suka banget matcha mf fore milih butterscotch,positive,2
02/2024,- Point coffee : americano - Tomoro : belum pernah - Fore : belum pernah - Haus : belum pernah - Es.Teh Indonesia : es teh manis,point coffee coffee americano tomoro fore haus esteh indonesia es kakak perempuan manis,positive,2
01/2024,Fore ada dark choco?m,fore dark chocom,neutral,1
03/2024,Masih jadi menu paling atas kalo gue ke fore,menu fore,positive,2
05/2024,"fore, couvee, seperdua",fore couvee seperdua,neutral,1
05/2024,tuku oke si tp lbh suka kopken ama fore baru tuku,tuku oke si lbh suka kopi kenangan fore tuku,positive,2
04/2024,"fore, point coffe dan kenangan",fore point coffee coffe kenangan,neutral,1
05/2024,"couve, seperdua, tuku, janjiw, kopken, fore, tomoro, jatinangor juga oke gbs milihh",couve seperdua tuku janjiw kopi kenangan fore tomoro jatinangor oke milihh,positive,2
05/2024,Aku pernah pas di fore. Padahal di depan kafe/gerai-nya tuh gak ada info harus cashless. Udah ngantri 20 menit padahal. Ksl.,pas fore kafegerainya tuh gak informasi cashless mengantri 20 menit ksl,negative,0
08/2024,btw km harus coba butterscotchnya sapakopi pls.. mirip fore lebih enak dari fore bandara klo ga konsisten malah wkwkw,ngomong-ngomong coba butterscotchnya sapakopi pls mirip fore enak fore bandara konsisten wkwkw,positive,2
12/2024,"karina sm lily. Pernah ke fore sekali pesen pake nama karina pas nyampe tanyanya ""kak pesanan atas nama lily udah blm yah butterscotch latte"" trs kata masnya gaada wkwk mungkin blm jadi. Tp lama bgt ga jadi2 tyt aku pake nama karina dan udh jd pas aku dtg",karina lily fore pesen pakai nama karina pas nyampe kak pesanan nama lily yah butterscotch latte masnya uang wkwk mungkin banget jadi2 tyt pakai nama karina udah pas,negative,0
04/2024,"Makjay, family mart, fore, tuku",makjay family mart fore tuku,neutral,1
02/2024,"Alasan beli fore yang junior, biar dapet sticker. Itu aku",alasan beli fore junior biar sticker,negative,0
05/2024,fore yg itu sumpah enak bgt,fore sumpah enak banget,positive,2
04/2024,Lagi jatuh hati sama fore gwe,jatuh hati fore gwe,positive,2
05/2024,Aku tim kopken nder. Fore emng enak tp di lidahku ninggalin after taste yg kurang aku suka,tim kopi kenangan fore memang enak lidahku ninggalin after taste suka,negative,0
05/2024,1. Tuku 2. Fore 3. kopi calf & djournal,1 tuku 2 fore 3 kopi calf djournal,positive,2
04/2024,"tuku, fore, kopi soe, janjiw, kopken, tomoro, point coffee kuloo gue lupaa rasanyaa, sangking di daerah gue udh gada/ada tpi gue ganoticee soalny yg di deket rumah udh tutup",tuku fore kopi soe janjiw kopi kenangan tomoro point coffee coffee kuloo lupaa rasanyaa sangking daerah udah gadaada ganoticee soalny deket rumah udah tutup,positive,2
04/2024,"1. Tuku (Kopsu Tetangga) 2. Fore (butterscotch & irish latte) 3. Kopken (kenangan mantan, matchanya enak pol) 4. Janjiw (Kopi soklat) semuanya harus less sugar / half sugar tp tuku gaada di jogja:(",1 tuku kopsu tetangga 2 fore butterscotch irish latte 3 kopi kenangan kenangan matchanya enak pol 4 janjiw kopi soklat gula half gula tuku uang jogja,positive,2
04/2024,Fore sih enak,fore sih enak,positive,2
04/2024,"etdaan wis dadi wong kota koe ngombene fore, lali karo dulur e na deso opora ki",etdaan wis dadi kota koe ngombene fore lali karo dulur e na deso opora ki,neutral,1
02/2024,point coffee iced salted caramel latte fore classic latte haus es teh (blm nyoba yg laen),point coffee coffee iced salted caramel latte fore classic latte haus es kakak perempuan nyoba laen,positive,2
04/2024,dari semua ini gue baru nyobain point' sama fore doang,nyobain point coffee fore doang,negative,0
04/2024,"blm nyoba fore, mau nyoba nanti",nyoba fore nyoba,neutral,1
03/2024,Rekomendasi menu minuman fore yg enakk doong,rekomendasi menu minuman fore enakk doong,positive,2
04/2024,kalo strong janjiw kopken kulo tuku. kalo yg enak fore point. yaallah kangen ngopi yaallah,strong janjiw kopi kenangan kulo tuku enak fore point coffee yaallah kangen ngopi yaallah,positive,2
04/2024,fore sama tuku pls aku cinta padamu!!,fore tuku pls cinta padamu,positive,2
01/2024,Duhh ini fav ku juga. Dah lama ga minum fore jd pengen,duhh favorit ku deh minum fore pengen,positive,2
01/2024,Fore cuyyyy enak bgt,fore cuyyyy enak banget,positive,2
11/2024,"ga enak pls kata aku, maaf enakan fore",enak pls maaf enakan fore,negative,0
03/2024,?????? matos araya mbe ijen onok fore mas,matos araya mbe ijen onok fore mas,neutral,1
07/2024,fore junior gua mah wkwkwk,fore junior mah wkwkwk,negative,0
05/2024,"Cantel, fore, blm ketemu",cantel fore ketemu,negative,0
09/2024,gaenak masih enakan fore tapi balik ke selera masing2 si tp bukan kopi tipe aku maap,gaenak enakan fore selera masing2 si kopi tipe maap,positive,2
04/2024,Kopken si no sugar aja udh pas bgt. klo matcha fore kemanisan,kopi kenangan si gula udah pas banget matcha fore kemanisan,positive,2
04/2024,1. fore 2. tuku 3. point 4. famima,1 fore 2 tuku 3 point coffee 4 famima,neutral,1
03/2024,"menurutku strong sama engga nya tergantung masing2 orang sih. bagi org2 yang kuat kopi, fore ga berasa soalnya tp bagiku uda lumayan bikin degdegan",menurutku strong engga nya tergantung masing2 sih orang-orang kuat kopi fore berasa bagiku uda lumayan bikin degdegan,positive,2
04/2024,"Botol kaca, fore, point, dan starbak sih",botol kaca fore point coffee starbak sih,positive,2
04/2024,1. Tuku 2. Fore 3. Versi belasan ribu KSK Family mart,1 tuku 2 fore 3 versi belasan ksk family mart,neutral,1
04/2024,Kalau rasa: fore sama kulo. Yg gk enak: janji jiwa,fore kulo gk enak janji jiwa,negative,0
03/2024,Belum menyelami fore banget sebenernya tapi so far suka sama caramel praline macchiato dan buttercream lattenya,menyelami fore banget sebenernya so far suka caramel praline macchiato buttercream lattenya,positive,2
05/2024,Fore tapi yang buttercream atau caramel macchiato enak bgttt,fore buttercream caramel macchiato enak bgttt,positive,2
04/2024,1 kenangan 2 point 3 fore,1 kenangan 2 point coffee 3 fore,neutral,1
01/2024,jd kangen fore,kangen fore,neutral,1
08/2024,"-5 sendok (aku pake sendok sambel kecil) kapal api classic -200 ml ultramilk karamel Ultramilknya dipanasin sampe mendidih trs tuang ke kopi. Klo yg suka manis boleh pake yg ultramilk mocca, tp aku ga suka manis jd pake karamel udh pas kek beli coffe latte di kopi kenangan/fore",5 sendok pakai sendok sambel kecil kapal api classic 200 ml ultramilk karamel ultramilknya dipanasin mendidih tuang kopi suka manis pakai ultramilk mocca suka manis pakai karamel udah pas beli coffe latte kopi kenanganfore,positive,2
04/2024,Fore sm KOi,fore koi,negative,0
01/2024,"point, fore, janjiw",point coffee fore janjiw,negative,0
05/2024,1. kopi kenangan 2. point 3. fore,1 kopi kenangan 2 point coffee 3 fore,positive,2
12/2024,kalau aku urutannya : banana cake butter croissant pain au choco sebenernya kalau di toko pastry lain aku suka bgt pain au choco tp gatau knp pas di fore kurang suka,urutannya banana cake butter croissant pain au choco sebenernya toko pastry suka banget pain au choco gatau pas fore suka,positive,2
03/2024,fore caramel praline. sayang sekali aku harus ke kota besar buat beli kopi enih.,fore caramel praline sayang kota beli kopi enih,negative,0
04/2024,"sukaaa, enakkk bgttttt. klo beli fore bingung mau yg menu apa tp skrg udh nemu ini gilsss enakk bgtt",sukaaa enakkk bgttttt beli fore bingung menu udah nemu gilsss enakk bgtt,positive,2
04/2024,"Baru nyoba beberapa, fore enak",nyoba fore enak,positive,2
03/2024,Disini mana ada fore anjerrrrrnjjkkk,disini fore anjerrrrrnjjkkk,negative,0
04/2024,"Urutanku dari yang paling aku nikmatin setelah gak bisa beli sbuxs lagi. Point, fore, janji jiwa, kopi kenangan, dan salah satu kopi di cafe deket rumah yang rasanya enak banget pahitnya mantull dan gak creamy, lupa nama cafenya apa wkwkw",urutanku nikmatin gak beli sbuxs point coffee fore janji jiwa kopi kenangan salah kopi cafe deket rumah enak banget pahitnya mantull gak creamy lupa nama cafenya wkwkw,positive,2
04/2024,kalo ak saat ini sih Fore Butterscotch Sea Salt Latte dan Cold 'n Brew Selena,sih fore butterscotch sea salt latte cold brew selena,negative,0
06/2024,"Fore, point coffee, sama kenangan!",fore point coffee coffee kenangan,positive,2
04/2024,fore oke kalo lagi gamau kopi yang strongg,fore oke gamau kopi strongg,positive,2
01/2024,Fore Tuku Lain hati,fore tuku hati,positive,2
07/2024,"kayanya gabisa dadakan ini, jadi download app fore duluu trs registrasi kaya biasa nanti pas ultah muncul vouchernya",kayaknya gabisa dadakan download app fore duluu registrasi kaya pas ulang muncul vouchernya,neutral,1
05/2024,fore itu menu gongnya fore gabakal nyesel,fore menu gongnya fore gabakal nyesel,positive,2
06/2024,"Mff oot, yg udh coba matchanya fore, review matcha nya dong, matcha green tea ama yg ada toping stoberinya ituuu",mff out of topic udah coba matchanya fore review matcha nya matcha green tea toping stoberinya ituuu,positive,2
06/2024,"Demiapa? Gua suka bgt matcha fore, malah takut mo cobain matcha kopken soalnya ijonya ngejreng",demiapa suka banget matcha fore takut cobain matcha kopi kenangan ijonya ngejreng,positive,2
11/2024,"Paling best Allure sih tapi udah ga ada kenapa ya :( abis tu kopken tapi yg hot + half sugar karna kalo cold ga creamy, fore jg enak less sugar pake toping seasalt mantap, terus point coffee tp less sugar",best allure sih iya habis tu kopi kenangan hot half gula cold creamy fore enak gula pakai toping seasalt mantap point coffee coffee gula,positive,2
05/2024,"Fore, tuku, fore",fore tuku fore,negative,0
09/2024,sebulan 3-4 kali kl coffee yg macem tomoro fore gtu,sebulan 34 coffee tomoro fore gtu,positive,2
03/2024,"Terakhir ngopi sebelum puasa, ini juga ngeredeem gratisan birthday gift dr FORE Kalo pas puasa ga berani ngopi :)",ngopi puasa ngeredeem gratisan birthday gift dr fore pas puasa berani ngopi,neutral,1
04/2024,"01. Kopi kenangan my favsss! semua menu kopinya gaada yang gagal <3 02. Fore, enak bgtbgt tapi harganya lbh pricey dari kopken aja wkwk 03. Point, famima – enak!! tapi famima suka ga konsisten rasanya kl beda outlet 04. Tomoro – caramel macchiatonya bezzztt <3",01 kopi kenangan my favsss menu kopinya uang gagal 3 02 fore enak bgtbgt harganya lbh pricey kopi kenangan wkwk 03 point coffee famima enak famima suka konsisten beda outlet 04 tomoro caramel macchiatonya bezzztt 3,positive,2
04/2024,Buatku fore & tomoro dari segi harga & rasa... tuku blm pernah coba.,buatku fore tomoro segi harga tuku coba,positive,2
08/2024,Top 5 menu fore terenak: 1. Butter cream tiramisu 2. Butterscotch sea salt 3. Almond choco 4. Caramel praline 5. Tropical manuka hibiscus Jangan lupa belinya pake aplikasi yaaaaa,top 5 menu fore terenak 1 butter cream tiramisu 2 butterscotch sea salt 3 almond choco 4 caramel praline 5 tropical manuka hibiscus lupa belinya pakai aplikasi yaaaaa,positive,2
03/2024,fore emang nomor satu,fore nomor,positive,2
02/2024,Point coffee: ice shaken black peach Tomoro: blm nemu yg gw suka Fore: berry manuka americano Haus: ga ada yg gw suka Es.Teh: ga tertarik coba,point coffee coffee ice shaken black peach tomoro nemu suka fore berry manuka americano haus suka esteh tertarik coba,positive,2
05/2024,Yh sebagai anak cupu ngopi Urutan dari yg masih cukup bisa di toleransi sampe engga bisa : *artinya dari yg mild ke strong 1. Cold brew tanamera 2. Fore 3. Tomoro 4. Kopken jawara beans (lainnya gk dulu) 5. Point coffee,yh anak cupu ngopi urutan toleransi engga mild strong 1 cold brew tanamera 2 fore 3 tomoro 4 kopi kenangan jawara beans gk 5 point coffee coffee,positive,2
06/2024,"Ngga, dikotaku fore cuma ada 1 di mall taukan semahal apa jadinya gue skripsian di cafe lain",dikotaku fore 1 mall taukan semahal skripsian cafe,negative,0
04/2024,btw arabica ga apple to apple. 1. tuku 2. fore 3. kopken 4. fm 5. nako (kopsus duren oat ls) sisanya yauda aja imo,ngomong-ngomong arabica apple to apple 1 tuku 2 fore 3 kopi kenangan 4 fm 5 nako kopsus durian oat ls sisanya yauda imo,negative,0
05/2024,muffin cokelat fore alias makanan dr surga,muffin cokelat fore alias makanan dr surga,positive,2
04/2024,fore mantep bgt,fore mantap banget,positive,2
06/2024,Aku kalo ke fore belinya butterscotch sama tiramisu mulu deh. Dark choco enak banget kah? Rekomenin yang enak2 lagi dong,fore belinya butterscotch tiramisu melulu deh dark choco enak banget rekomenin enak2,positive,2
08/2024,"aakhh sorry kak aku salah info, yg perpanjang itu fore tp buy 2 get 3",aakhh maaf kak salah informasi perpanjang fore buy 2 get 3,negative,0
06/2024,tp iya sih pas skripsian fore for life bgt,iya sih pas skripsian fore for life banget,positive,2
10/2024,"fore bestnya kopi sih, non coffee nya b ajaa.. klo matcha enakan punya feel matcha",fore bestnya kopi sih non coffee nya b ajaa matcha enakan feel matcha,positive,2
04/2024,Knp y fore disini jauh bgt sialan,fore disini banget sialan,negative,0
09/2024,fore juga soalnya beli yang satu liter kemaren HAHAHA,fore beli liter hahaha,neutral,1
04/2024,Aku bersama gelas-gelas fore ku wkwk,gelasgelas fore ku wkwk,neutral,1
06/2024,"tuku sama fore nder, sbux juga enak",tuku fore starbucks enak,positive,2
11/2024,sejauh ini matcha favoritku matcha fore sih,matcha favoritku matcha fore sih,positive,2
04/2024,Plis kasih recomen Fore dong ?,plis kasih recomen fore,negative,0
12/2024,"sama sama ka, aku coba tanya marugame nya. Ternyata bisa kalo belum ada transaksi. Asal udah 30 hari akunnya aktif. Jadi dia sistemnya kurang lebih sama kaya birthday threatnya fore",kakak coba marugame nya transaksi 30 akunnya aktif sistemnya kaya birthday threatnya fore,positive,2
04/2024,lambung gua rada kampung jadi kopken sama fore,lambung rada kampung kopi kenangan fore,negative,0
04/2024,"Tuku, fore, arah",tuku fore arah,neutral,1
05/2024,"km suka yg menu apa kakk? tapi kalo pernah beli fore boleh bantu isi gak kakk? https://bit.ly/pernahbeliforegak… requestnya: pilih dom surabaya pernah beli di outlet lain isinya jgn 5 terus, jadi gantian antara 3-5",suka menu kakk beli fore bantu isi gak kakk requestnya pilih dom surabaya beli outlet isinya 5 gantian 35,positive,2
05/2024,Tolong dong...aku gamau zonk jd berikan aku saran kopi tuku yg enak tuh apa? Sejauh ini kopi enakku masih fore butterscotch sea salt latte,dongaku gamau bodoh berikan saran kopi tuku enak tuh kopi enakku fore butterscotch sea salt latte,positive,2
06/2024,Saranin menu yg strong kopinya dong dari fore,saranin menu strong kopinya fore,positive,2
04/2024,fore dan tuku,fore tuku,positive,2
02/2024,kakkk sama fore enakk mana,kakkk fore enakk,positive,2
05/2024,"ini kakak kakak yg suka beli fore https://bit.ly/pernahbeliforegak… requestnya: pilih dom surabaya pernah beli di outlet lain isinya jgn 5 terus, jadi gantian antara 3-5",kakak kakak suka beli fore requestnya pilih dom surabaya beli outlet isinya 5 gantian 35,neutral,1
05/2024,"fore aja nder coba kopi baru wkwk, tp fore kopinya kureng walaupun uda less sugar (mnrt w)",fore coba kopi wkwk fore kopinya kureng uda gula mnrt,negative,0
04/2024,1. Calf (gada digambar) 2. Tuku 3. Fore 4. Fm,1 calf gada digambar 2 tuku 3 fore 4 fm,negative,0
04/2024,fore tp mahal,fore mahal,negative,0
07/2024,Fore tuh kopinya aja rasa non kopi wkwkw,fore tuh kopinya non kopi wkwkw,negative,0
03/2024,"Ditempat biasa aku beli fore juga cashless, non coffeenya wajib bgt cobain matcha latte, matcha latte fore tu enak bgt bgt bgtttttt",ditempat beli fore cashless non coffeenya wajib banget cobain matcha latte matcha latte fore tu enak banget banget bgtttttt,positive,2
01/2024,"Fore plissss. Baru aja tadi minum fore sambil mikir ini pengganti sb*x buat gue, harga lebih murah lagi",fore plissss minum fore mikir pengganti sbx harga murah,positive,2
06/2024,"Aku fore sih, gak terlalu suka tomoro",fore sih gak suka tomoro,negative,0
02/2024,kalo matcha: -tomoro -point coffee -kenangan -janji jiwa -fore -haus -es teh,matcha tomoro point coffee coffee kenangan janji jiwa fore haus es kakak perempuan,positive,2
06/2024,"Fore, Tuku sama Kopi Lain Hati lebih pas rasa kopi nya",fore tuku kopi hati pas kopi nya,positive,2
06/2024,"Tim belikopi, kalo fore terus ya habis uang saku hehew",tim belikopi fore iya habis uang saku hehew,negative,0
02/2024,- Point coffee - - Tomoro - - Fore - - Haus milo/taro - Es.Teh Indonesia - Gua mah seringnya beli es yg gocengan aja rasa thaitea atau matcha,point coffee coffee tomoro fore haus milotaro esteh indonesia mah beli es gocengan thaitea matcha,positive,2
01/2024,"Fore, sampe pernah bilang : gw abis minum fore kok jd ngrasa agak ecstatic ya, jd kaya mendramatisir romantisasi perasaan sendiri.",fore bilang habis minum fore ngrasa agak ecstatic iya kaya mendramatisir romantisasi perasaan,negative,0
04/2024,fore sama point untuk diriku yg gakuat strong,fore point coffee diriku gakuat strong,positive,2
09/2024,"Kopi sebenernya selaluu kopi every single dayy Tp kl fore skg jajan matcha ajaaa. Soalnya di aku bikin pusing dan mual kopinya Pdhl yaaa dulu ada waktu dmn selama 6 bln tiapp hari ice americano jg gapapaa, ga masalah di aku",kopi sebenernya selaluu kopi every single dayy fore skg jajan matcha ajaaa bikin pusing mual kopinya pdhl yaaa 6 tiapp ice americano gapapaa,positive,2
04/2024,Semuanya enak di fore wkwkwk,enak fore wkwkwk,positive,2
04/2024,FOREEE UDA LAMA GA MINUM FORE,foreee uda minum fore,positive,2
02/2024,"mending fore, atau kopken yg outside matcha latte kak",fore kopi kenangan outside matcha latte kak,negative,0
05/2024,"Kalau gak bisa ngopi banyak kyk aku, ngopi cuma smb nongkrong lama Fore sih. Dr rasa jg lebih suka fore. Tp kalau minum kopi kyk sapi gelonggong bergelas2 kopken aja itung2nya lbh murce xD",gak ngopi ngopi smb nongkrong fore sih dr suka fore minum kopi sapi gelonggong bergelas2 kopi kenangan itung2nya lbh murce xd,positive,2
04/2024,"Tuku, Family Mart, Fore, Arabica, sisanya so so aza sih.. coba ada Arah juga huehee",tuku family mart fore arabica sisanya so so aza sih coba arah huehee,positive,2
04/2024,Kamu pasti pilih fore kan @Hafinda8,pilih fore kan,positive,2
04/2024,"Tuku, point & fore.",tuku point coffee fore,neutral,1
04/2024,bagi aku ya arabica tuku fore janjiw,iya arabica tuku fore janjiw,neutral,1
11/2024,JADI PENGENNN Langsung cek fore apk wkw,pengennn cek fore apk wkw,neutral,1
06/2024,aku beli fore kalo lagi dapet duit tambahan aja soalnya MAHAL,beli fore duit tambahan mahal,negative,0
05/2024,"Coba kopi fore, rasa lebih baik dan bebas embel² z10n!2T.",coba kopi fore bebas embel z10n2t,positive,2
07/2024,jadi keinget beli fore terus kebuang juga karena mobil gw tabrakan dan cupnya mental WKWKW,keinget beli fore kebuang mobil tabrakan cupnya mental wkwkw,negative,0
10/2024,"matcha fore beneran kerasa matcha nya ga yaa? yang ada pait paitnya gitu, soalnya aku suka matcha dgn type sprti ituu",matcha fore beneran kerasa matcha nya yaa pait paitnya suka matcha type ituu,positive,2
03/2024,Fore di aku aman aman aja kak,fore aman aman kak,positive,2
04/2024,1. % Arabica - Ice Spanish Latte 2. Fore - Berry Manuka Americano 3. Tuku - Es Kopi Susu Tetangga 4. Dibawah Tangga - Kopi Susu Kampung 5. Kopi Soe - Es Kopi Roem,1 arabica ice spanish latte 2 fore berry manuka americano 3 tuku es kopi susu tetangga 4 dibawah tangga kopi susu kampung 5 kopi soe es kopi roem,positive,2
04/2024,"tuku, fore, kopken, famima, janjiw, nako",tuku fore kopi kenangan famima janjiw nako,neutral,1
09/2024,matcha fore enak gak sih,matcha fore enak gak sih,positive,2
03/2024,Jadi salah satu menu fav di fore,salah menu favorit fore,positive,2
01/2024,Belum nemu itu.. kk mau cobain punya Fore.,nemu kakak cobain fore,negative,0
02/2024,aku si pecinta kopi creamy dengan ini merekomendasikan point coffee: kopi baper coldbrew caramel tomoro: - (ga cocok) fore: caramel praline macchiato less sugar with almond milk haus: - es teh indonesia: esteh nusantara less sugar with egg pudding,si pecinta kopi creamy merekomendasikan point coffee coffee kopi baper coldbrew caramel tomoro cocok fore caramel praline macchiato gula with almond milk haus es kakak perempuan indonesia esteh nusantara gula with egg pudding,positive,2
06/2024,"Hari senin point, hari sabtu fore wkwk",point coffee fore wkwk,negative,0
04/2024,1. TUKU (Kopsu tetangga & Caramel macchiato) 2. FORE (Butterscotch seasalt latte),1 tuku kopsu tetangga caramel macchiato 2 fore butterscotch seasalt latte,positive,2
04/2024,Tuku Point coffee Djournal Kopken Fore Jco Nako bolehlah Janji jiwa juga skrg udh oke semenjak rebranding,tuku point coffee coffee djournal kopi kenangan fore jco nako janji jiwa udah oke semenjak rebranding,positive,2
12/2024,klo buat gift mending fore atau tukuu sjjj,gift fore tukuu sjjj,neutral,1
04/2024,tuku pertama fore kedua pokok,tuku fore pokok,neutral,1
01/2024,"baru sekali ke fore krn mau pake voc promonya doang, nyoba buttercream tiramissunya wallahi jd kepengen kesana muluuu karena se enak ituu",fore pakai voc promonya doang nyoba buttercream tiramissunya wallahi kesana muluuu enak ituu,positive,2
12/2024,"ichiban sushi sm fore nder. tapi kalo fore harus download apk nya dulu, minim 3 bulan baru dpt voucher",ichiban sushi fore fore download apk nya minim 3 voucher,neutral,1
08/2024,bday upsize kakk.. download fore B04ECD pake kode reff enih nnti dpt voc 50% dan jgn lupa isi biodata biar pas ultah dapett voc free 1 minuman,bday upsize kakk download fore b04ecd pakai kode reff enih nnti voc 50 lupa isi biodata biar pas ulang dapett voc free 1 minuman,neutral,1
05/2024,Tunggu aku ultah nanti mau nyobain fore,tunggu ulang nyobain fore,neutral,1
04/2024,Pengen ngerasain fore aslik,pengen ngerasain fore aslik,positive,2
10/2024,"Belum pernah coba yg non coffee karena merasa rugi banget ke fore kalo ga beli kopi, karena seenak itu",coba non coffee rugi banget fore beli kopi seenak,positive,2
04/2024,point sama fore sih so far ya buat kopinya,point coffee fore sih so far iya kopinya,positive,2
11/2024,iyaa samping e itu fore,iyaa samping e fore,neutral,1
11/2024,tomoro rill juara bangettt atau ga fore,tomoro rill juara bangettt fore,positive,2
09/2024,Gw Si paling Butterscotch Sea Salt Latte Pake voucher gw biar dapet potongan utk pembelian pertama lewat apps Fore 7D3075,si butterscotch sea salt latte pakai voucher biar potongan pembelian apps fore 7d3075,neutral,1
09/2024,"tuku, fore, dan kopken sejauh ini",tuku fore kopi kenangan,positive,2
04/2024,1. Fore 2. point 3. kopken 4. Kopi soe 5. Janjiw,1 fore 2 point coffee 3 kopi kenangan 4 kopi soe 5 janjiw,negative,0
04/2024,Tuku sama fore sih kalo aku,tuku fore sih,negative,0
