Date,Text,Text Normalization,Sentimen
04/2024,gua tetep kopken mantan si,tetep kopi kenangan si,negative
04/2024,"my version: kopken, tuku, arah, dan popolo(avail di bogor only)!!!!",my version kopi kenangan tuku arah popoloavail bogor only,neutral
04/2024,kasih paham warga kopken @aaleezun @cancerngamuk @pinaapplleee @asaledafon,kasih paham warga kopi kenangan,positive
04/2024,Ngopi enak di bawah 10 ribuan? Ya kopi kenangan,ngopi enak 10 ribuan kopi kenangan,positive
04/2024,tuku fore kopken point,tuku fore kopi kenangan point coffee,neutral
04/2024,"tuku, fore, kopken, famima, janjiw, nako",tuku fore kopi kenangan famima janjiw nako,neutral
04/2024,GAUSAH MENTION HRUSNYA ORANG2 TAU KOPKEN TERBAIK,gausah mention hrusnya orang2 kopi kenangan terbaik,positive
04/2024,kopi kenangan kalo lagi stres fore kalo lagi happy,kopi kenangan stres fore bahagia,negative
04/2024,kopi kenangan dan fore sihh,kopi kenangan fore sihh,positive
04/2024,Fore Kopi Kenangan (varian juwara beans),fore kopi kenangan varian juwara beans,positive
04/2024,1. tuku 2. fore 3. kopkenn 4. fami cafe 5. tomoro tuku enak tp kalo minum lamgsung bikin gemeter,1 tuku 2 fore 3 kopkenn 4 fami cafe 5 tomoro tuku enak minum lamgsung bikin gemeter,positive
04/2024,"Fore, kopken, janjiw, point",fore kopi kenangan janjiw point coffee,neutral
04/2024,"Tuku. Klo mau yg rasa rasa, fore. Tp kopken paling kureng soriii",tuku fore kopi kenangan kureng soriii,positive
04/2024,"Kopken tuh comfort bgt, klo fore enakk, aku dh nyobain tuku tp kt ku overcreamy",kopi kenangan tuh comfort banget fore enakk dh nyobain tuku ku overcreamy,positive
04/2024,"kopken, couvee sejauh ini yg pernah dicobain",kopi kenangan couvee dicobain,positive
04/2024,"Kopi kenangan (kenangan mantan), Fami cafe (dulce latte)",kopi kenangan kenangan fami cafe dulce latte,positive
04/2024,"Kopi kenangan, fami cafe, semenjak ada kopi2 ini. Njuk aku meh takon karo starbucks, heyy kowe ki ngopo e? Meh cepet sugih ra ngono carane.",kopi kenangan fami cafe semenjak kopi2 njuk meh takon karo starbucks heyy kowe ki ngopo e meh cepat sugih ra ngono carane,positive
04/2024,"Kalo yg ampuh sih tuku, dibawahtangga, kopken (kadang). Famima, point, janjiw, kulo, tomoro 50:50, kadang lbh ke susu rasa kopi",ampuh sih tuku dibawahtangga kopi kenangan kadang famima point coffee janjiw kulo tomoro 5050 kadang lbh susu kopi,positive
04/2024,"01. Kopi kenangan my favsss! semua menu kopinya gaada yang gagal <3 02. Fore, enak bgtbgt tapi harganya lbh pricey dari kopken aja wkwk 03. Point, famima – enak!! tapi famima suka ga konsisten rasanya kl beda outlet 04. Tomoro – caramel macchiatonya bezzztt <3",01 kopi kenangan my favsss menu kopinya uang gagal 3 02 fore enak bgtbgt harganya lbh pricey kopi kenangan wkwk 03 point coffee famima enak famima suka konsisten beda outlet 04 tomoro caramel macchiatonya bezzztt 3,positive
04/2024,Kopken kampret. Strong bgt bikin melek ampe subuh,kopi kenangan sialan strong banget bikin melek ampe subuh,negative
04/2024,1. Tuku 2. Fore 3. Kopi Kenangan 4. Fami 5. Tomoro,1 tuku 2 fore 3 kopi kenangan 4 fami 5 tomoro,positive
04/2024,"1. Tuku, calf, tomoro 2. Famima, janjiw, kopken, nako 3. Selain itu Fore sama % arabica blm nyoba soalnya",1 tuku calf tomoro 2 famima janjiw kopi kenangan nako 3 fore arabica nyoba,positive
04/2024,"1. Fore (Cafe Malt / Butterscotch Sea Salt, shot +1, less sweet) 2. Point (Caramel Macchiato, shot +1, less sweet) 3. Tuku (di Mdn alternatifnya Tamoe yang lebih kelat dibanding Tuku) 4. KopKen (Mantan, wajib shot +1 Jawara beans & jumbo) Yang lain gak masuk karena gak cocok.",1 fore cafe malt butterscotch sea salt shot 1 sweet 2 point coffee caramel macchiato shot 1 sweet 3 tuku mdn alternatifnya tamoe kelat dibanding tuku 4 kopi kenangan wajib shot 1 jawara beans jumbo gak masuk gak cocok,positive
04/2024,"Kulo, point, kopi kenangan, janji jiwa.. Baru segitu yg di coba",kulo point coffee kopi kenangan janji jiwa segitu coba,positive
04/2024,matcha aku suka point coffe & kopi kenangan. make sure low sugar yahhh kl americano aku blm pernah,matcha suka point coffee coffe kopi kenangan make sure gula yahhh americano,positive
04/2024,"Untuk matcha.. kopken terbaek,kedua point",matcha kopi kenangan terbaekkedua point coffee,neutral
04/2024,matchanya kopken adalah life saver,matchanya kopi kenangan life saver,neutral
04/2024,"Masuk lidahku kopken, point, fore, tomoro, nako kahluaaaa",masuk lidahku kopi kenangan point coffee fore tomoro nako kahluaaaa,positive
04/2024,"Kalau matcha kopken sama point coffe sih, kalau americano point coffe juga, tapi kalau matcha prefer less sugar",matcha kopi kenangan point coffee coffe sih americano point coffee coffe matcha prefer gula,positive
04/2024,"dulu pernah coba americano kopken itu enak, kalo janjiw masih ada ampas2nya gitu kurang suka.. kalo yang matcha baru nyoba point coffe",coba americano kopi kenangan enak janjiw ampas2nya suka matcha nyoba point coffee coffe,positive
04/2024,ada yg belom pernah nyoba kopinya sih. tp klo mau yg strongg kopken msh jadi pemenang,nyoba kopinya sih strongg kopi kenangan pemenang,positive
04/2024,Matcha? Kopken! Jangan lupa no sugar heheh Point juga enak (terutama matcha frappenya sih) Janjiw...not bad Fore harganya agak-agak di aku buat ukuran matcha,matcha kopi kenangan lupa gula heheh point coffee enak matcha frappenya sih janjiwnot bad fore harganya agakagak ukuran matcha,positive
04/2024,"bisa-bisanya gak ada kopi tuku kalo matcha, kopken sama fore enak. point coffee menurutku skrg matchanya kemanisan.. kalo americano, dari list itu aku prefer excelso sama fore",bisabisanya gak kopi tuku matcha kopi kenangan fore enak point coffee coffee menurutku matchanya kemanisan americano list prefer excelso fore,positive
04/2024,"matcha sejauh ini enakan kopken, tapii wajib less sugar",matcha enakan kopi kenangan tapii wajib gula,positive
04/2024,"Versi aku: 1. Americano : Janji Jiwa 2. Matcha : POINT COFFE is the best!!!! Kopi Kenangan, Excelso, Tomoro.",versi 1 americano janji jiwa 2 matcha point coffee coffe is best kopi kenangan excelso tomoro,positive
04/2024,"Matcha kopken sama point, kalo americano baru nyoba janjiw b aja sih",matcha kopi kenangan point coffee americano nyoba janjiw b sih,negative
04/2024,Matcha espresso kopi kenangan sih enak bgt!! Apalagi kalau less sugar,matcha espresso kopi kenangan sih enak banget gula,positive
04/2024,americano enak kopken matcha nya blm nyoba smua,americano enak kopi kenangan matcha nya nyoba smua,positive
04/2024,"matchanya kopken sama point coffee enak sih nder, kalo janjiw kurang sukaa tapi ada beberapa di pic blm pernah aku cobaa",matchanya kopi kenangan point coffee coffee enak sih janjiw sukaa pic cobaa,positive
04/2024,Americano kakakku paling suka kopken Aku pribadi gak pernah coba americano sih,americano kakakku suka kopi kenangan pribadi gak coba americano sih,positive
04/2024,menurutku paling enak tuh fore trus kopi kenangan,menurutku enak tuh fore kopi kenangan,positive
04/2024,"Kopken sih, apalagi banyak promo pake blu bca",kopi kenangan sih promo pakai blu bca,positive
04/2024,"matcha belum pernah, kalo americano: 1. fore 2. point coffee 3. soe 4. juwara beans kopken janjiw paling bawah, excelso sama kulo belom pernah nyobain americanonya",matcha americano 1 fore 2 point coffee coffee 3 soe 4 juwara beans kopi kenangan janjiw excelso kulo nyobain americanonya,positive
04/2024,"aku baru pernah nyoba kopken, janjiw, point sama kulo untuk americano paling enak punya kopken, janjiw kureeeeng bangeeeet, point okelah kalo gaada banget.",nyoba kopi kenangan janjiw point coffee kulo americano enak kopi kenangan janjiw kureeeeng bangeeeet point coffee okelah uang banget,positive
04/2024,"tuku, kopken, tomoro sayangku cintaku matahariku",tuku kopi kenangan tomoro sayangku cintaku matahariku,positive
04/2024,versi aku yaa 1. Fore Butterscoth Sea Salt Late 2. Kopi Kenangan Mantan Less sugar 3. Point Caffe (Kopi Baper) sebenernya ada satu lagi sbux secret recipes tapi saking secretnya nggatau apa aja soalnya dibeliin waktu itu:(,versi yaa 1 fore butterscoth sea salt late 2 kopi kenangan gula 3 point coffee caffe kopi baper sebenernya starbucks secret recipes saking secretnya nggatau dibeliin,positive
04/2024,"sebenernya sih ya arabica.. tapi karena harganya mahal banget jadi kurang pas disejajarkan lol maka berdasar list ini masih tuku yg paling enak.. disusul fore, point coffee, kopi kenangan yg paling kureng jelas kopi susu gula arennya janji jiwa dan kulo",sebenernya sih arabica harganya mahal banget pas disejajarkan tertawa maka berdasar list tuku enak disusul fore point coffee coffee kopi kenangan kureng kopi susu gula arennya janji jiwa kulo,positive
04/2024,Point coffee & kopi kenangan kalo lebih pilih yg kerasa kopinya,point coffee coffee kopi kenangan pilih kerasa kopinya,positive
04/2024,Gasuka kopken sm janjiw,gasuka kopi kenangan janjiw,negative
04/2024,"dr foto foto diatas, paling enak ttp kopken sm fore sih menurutku",dr foto foto diatas enak kopi kenangan fore sih menurutku,positive
04/2024,"point, kopken, janjiw",point coffee kopi kenangan janjiw,neutral
04/2024,"Lupa pernah nyoba dimana ajaa, tapi yg paling inget americanonya kopken kureng bgt dehh kaya kapal api waktu itu nyoba yg di taman ismail marzuki",lupa nyoba ajaa inget americanonya kopi kenangan kureng banget dehh kaya kapal api nyoba taman ismail marzuki,positive
04/2024,rekomendasi minuman di kopken yang paling enakkkk dong,rekomendasi minuman kopi kenangan enakkkk,positive
04/2024,kopken sih even yg normal sugar ga terlalu manis buat sweet tooth ky aq,kopi kenangan sih even normal gula manis sweet tooth,neutral
04/2024,"Fore, kopi kenangan, janji jiwa",fore kopi kenangan janji jiwa,positive
04/2024,Point sm kopken sih Tp lebih suka point nder,point coffee kopi kenangan sih suka point coffee,positive
04/2024,Janji jiwa sm kopken ga strong kak,janji jiwa kopi kenangan strong kak,negative
04/2024,1. Fore 2. Kopken 3. Point 4. Janjiwa Baru nyoba 4 itu sih sisanya belom pernah..,1 fore 2 kopi kenangan 3 point coffee 4 janjiwa nyoba 4 sih sisanya,negative
04/2024,"americano fore sama kopken enak. kalo matcha aku udh pernah nya nyoba matcha pake susu oat nya kopken, terus tomoro matcha oat latte juga enak",americano fore kopi kenangan enak matcha udah nya nyoba matcha pakai susu oat nya kopi kenangan tomoro matcha oat latte enak,positive
04/2024,KOPKEN ANJING GAK NGOTAK SHIBAL,kopi kenangan anjing gak ngotak shibal,negative
04/2024,Tuku dan kopi kenangan,tuku kopi kenangan,positive
04/2024,"americano kopken enak, murah, dan porsi gede! suka diskon juga kalo pake blu lov bgt",americano kopi kenangan enak murah porsi gede suka diskon pakai blu lov banget,positive
04/2024,"cuma pernah nyobain point, kopi kenangan, sama janji jiwa aja. dari ketiga itu aku paling suka point",nyobain point coffee kopi kenangan janji jiwa suka point coffee,positive
04/2024,"1. Tuku (Kopsu Tetangga) 2. Fore (butterscotch & irish latte) 3. Kopken (kenangan mantan, matchanya enak pol) 4. Janjiw (Kopi soklat) semuanya harus less sugar / half sugar tp tuku gaada di jogja:(",1 tuku kopsu tetangga 2 fore butterscotch irish latte 3 kopi kenangan kenangan matchanya enak pol 4 janjiw kopi soklat gula half gula tuku uang jogja,positive
04/2024,"Caramel Macchiato kopken, point coffee, sama fore saingan banget buat aku mayan lah jadi banyak pilihan tergantung bujet",caramel macchiato kopi kenangan point coffee coffee fore saingan banget mayan pilihan tergantung bujet,positive
04/2024,Kopken mantan klo versi yg botolan dijual di indomaret/alfamart itu sama ga si rasany sama yg di kafeny?,kopi kenangan versi botolan dijual indomaretalfamart si rasany kafeny,negative
04/2024,"Aku yg ga terlalu suka kopi, tp menurutku yg masih masuk itu Fore dan Kopken. ga masuk bgt janji jiwa",suka kopi menurutku masuk fore kopi kenangan masuk banget janji jiwa,negative
04/2024,Fore lebih kecil dibanding kopken sama janjiw itu pasti karena dia lebih mahal dan jarang promo. Matcha kusuka di point coffee!!! Americano gak minum.,fore kecil dibanding kopi kenangan janjiw mahal jarang promo matcha kusuka point coffee coffee americano gak minum,positive
04/2024,Matcha kopi kenangan belum ada yang ngalahin sih buatku,matcha kopi kenangan ngalahin sih buatku,positive
04/2024,"Kopken tuh enak strong kopinya kerasa, tapi juga lembut gitu ga keras, soalnya yg lain kadang bikin sesek, cocok2an si. Kemaren sempet tomoro juga lumayan deh nyaman minumnya",kopi kenangan tuh enak strong kopinya kerasa lembut keras kadang bikin sesek cocok2an si tomoro lumayan deh nyaman minumnya,positive
04/2024,Di sini janji rasa gula doang kalo mau strong opsi nya cuma kopken atau ya req extra shot,janji gula doang strong opsi nya kopi kenangan req extra shot,neutral
04/2024,Dari urutan dan listnya sama kecuali pengen coret kopken. Selalu mual ga enak abis minum kopken,urutan listnya pengen coret kopi kenangan mual enak habis minum kopi kenangan,negative
04/2024,"Fore (butterscotch sea salt latte, coconut latte) kopken (kopken mantan less sugar) point coffe (kopi nya enak tp lupa variant nya + matcha latte nya juara)",fore butterscotch sea salt latte coconut latte kopi kenangan kopi kenangan gula point coffee coffe kopi nya enak lupa variant nya matcha latte nya juara,positive
04/2024,1. Kopken 2. Tuku 3. Tommorow 4. Famili mart coffee 5. Point coffee 6. Fore 7. Kopi soe Underrated coffee di surabaya yaa XXX3 mantep banget,1 kopi kenangan 2 tuku 3 tommorow 4 famili mart coffee 5 point coffee coffee 6 fore 7 kopi soe underrated coffee surabaya yaa xxx3 mantap banget,positive
04/2024,Tuku kopi susu tetangga Kopken avocado coffee Famicafe KSK,tuku kopi susu tetangga kopi kenangan avocado coffee famicafe ksk,positive
04/2024,Top 5 under 25K 1. Tuku 2. Tomoro 3. KSK 4. Point Coffe 5. Kopi Kenangan,top 5 under 25k 1 tuku 2 tomoro 3 ksk 4 point coffee coffe 5 kopi kenangan,positive
04/2024,"1. kopi kemenangan 2. kopi kenangan 3. point coffee 4. kopi soe (kopi rum aja ehehe) 5. fore 6. tomoro, janjiw",1 kopi kemenangan 2 kopi kenangan 3 point coffee coffee 4 kopi soe kopi rum ehehe 5 fore 6 tomoro janjiw,positive
04/2024,Menurut gw dr base kopi mereka ya.. 1. Fore 2. Kopken 3. Arabica,dr base kopi 1 fore 2 kopi kenangan 3 arabica,positive
04/2024,"kopi kenangan, point, sm fore.",kopi kenangan point coffee fore,positive
04/2024,"Masih point kopi, tp americanonya kopi kenangan enak",point coffee kopi americanonya kopi kenangan enak,positive
04/2024,sbux (dah ak boikot ygy) point nako kopken fore janjiw,starbucks deh boikot ygy point coffee nako kopi kenangan fore janjiw,neutral
04/2024,Kopi kenangan & point,kopi kenangan point coffee,positive
04/2024,Kopi kenangan sm point 11 12 sih. Oke buat di repeat order,kopi kenangan point coffee 11 12 sih oke repeat order,negative
04/2024,"kopken dan jajiw mah kopinya sekedar doang, lebih strong point.",kopi kenangan jajiw mah kopinya doang strong point coffee,positive
04/2024,"Rate ak: 1. Kopken!!! enak, murah, ga pait kopina ini beneran tiap hari gw beli anjrot 2. Fore enak, ga pait kopina, tp mahal 3. Famima KSK enak dan mursida Sisanya terserah. Tp yg paling bawah janjiw hehehehehe mmf",rate 1 kopi kenangan enak murah pait kopina beneran beli anjrot 2 fore enak pait kopina mahal 3 famima ksk enak mursida sisanya terserah janjiw hehehehehe mmf,positive
04/2024,"@Kopikenangan_ID tolong kasih ak discount/gratis yhhh, ak tiap hari beli kopken mantan less sugar normal ice di sahid sudirman trims. Kadang beli greentea latte, kadang jg avocado caramel, ya suka2 ak sih?? Tp tiap hari ke kopken??",kasih discountgratis yhhh beli kopi kenangan gula normal ice sahid sudirman terima kasih kadang beli greentea latte kadang avocado caramel suka2 sih kopi kenangan,positive
04/2024,kopken (juwara beans) tuku fore (enak dia gurih) janjiw . . . . . . . . . . . . . kopi abc susu . . . . . . tomoro,kopi kenangan juwara beans tuku fore enak gurih janjiw kopi abc susu tomoro,positive
04/2024,berdasarkan yg pernah tak coba 1. Fore butterscotch 2. kopken latte oatside 3. point palm coffee 4. janji jiwa,coba 1 fore butterscotch 2 kopi kenangan latte oatside 3 point coffee palm coffee 4 janji jiwa,positive
04/2024,1. Arabica % 2. Tuku 3. Fore 4. Animo 5. Di bawah tangga 6. Famima 7. Janji Jiwa 8. Kopken 9. Point 10. Tomoro,1 arabica 2 tuku 3 fore 4 animo 5 tangga 6 famima 7 janji jiwa 8 kopi kenangan 9 point coffee 10 tomoro,positive
04/2024,yang pernah ku cobain cuma janji jiwa sama kopi kenangan,ku cobain janji jiwa kopi kenangan,positive
04/2024,"kopken, fore, tuku, point, tomoro, famima ini gue sebutin random, bukan urutan terenak. kl masalah enak/ga tergantung mood maunya beli apa.",kopi kenangan fore tuku point coffee tomoro famima sebutin random urutan terenak enakga tergantung mood maunya beli,positive
04/2024,"FORE dan POINT COFFEE JUARA, tapi yg biasa rasanya kadang masih suka beli kopi kenangan milonya dan janji jiwa yg kopi susu",fore point coffee coffee juara kadang suka beli kopi kenangan milonya janji jiwa kopi susu,positive
04/2024,"cuma kopken dan fore, klo yg lokal di palembang ada kopi agam itu enak bgtttt",kopi kenangan fore lokal palembang kopi agam enak bgtttt,positive
04/2024,emg ekspektasinya gmn? kalo mau enak ya coba brand yg lebih premium lah. menurut gue dgn harga segitu cookies kopken mayan enak,memang ekspektasinya gmn enak coba brand premium harga segitu cookies kopi kenangan mayan enak,positive
04/2024,kopken sm point sih kalo pengen yg gurih-gurih baru tuku trus kalo pengen yg biasa aja yg penting kopi itu ksk janji jiwa kalo promo 9rb tomoro kalo diskon dan deket dari rumah hehehehe,kopi kenangan point coffee sih pengen gurihgurih tuku pengen kopi ksk janji jiwa promo 9rb tomoro diskon deket rumah hehehehe,positive
04/2024,"udah nyobain janjijiwa ama kopi kenangan, tapi emang gatau kenapa enak aja javaland sayang dia ga ekspansi",nyobain janjijiwa kopi kenangan gatau enak javaland sayang ekspansi,positive
04/2024,sejauh ini kopken masih fav sih,kopi kenangan favorit sih,positive
04/2024,"Lbh suka ke kopken,kopinya berasa agak strong tp msh berasa manis juga.",lbh suka kopkenkopinya berasa agak strong berasa manis,positive
04/2024,Ihhh kopi kenangan Ama point' juga enak,ihhh kopi kenangan point coffee enak,positive
04/2024,"sumpah iyaa ko beda2 ya, aku kuat minum kopken large dan janjiw. tp pas nyoba point coffe yg frappe latte klo g slaahh, itu deg2an bgt ga bisa tidur cemas gt gakuaaat",sumpah iyaa ko beda2 kuat minum kopi kenangan large janjiw pas nyoba point coffee coffe frappe latte slaahh deg2an banget tidur cemas gakuaaat,negative
04/2024,Tuku Point coffee Djournal Kopken Fore Jco Nako bolehlah Janji jiwa juga skrg udh oke semenjak rebranding,tuku point coffee coffee djournal kopi kenangan fore jco nako janji jiwa udah oke semenjak rebranding,positive
04/2024,Ini setuju bangetttt 1. Tuku 2. Fore apalagi yang butterscoth seasalt 3. Tomoro oat latte (terbest bangetttt 1000/10) 4. Point 5. Kopken (matcha espresso 1000/10),setuju bangetttt 1 tuku 2 fore butterscoth seasalt 3 tomoro oat latte terbest bangetttt 100010 4 point coffee 5 kopi kenangan matcha espresso 100010,positive
04/2024,Seleraku 1. Tuku 2. Fore 3. Tomoro 4. Point 5. Kopken,seleraku 1 tuku 2 fore 3 tomoro 4 point coffee 5 kopi kenangan,positive
04/2024,kopken no sugar menurutku mirip bgt sm sbux,kopi kenangan gula menurutku mirip banget starbucks,positive
04/2024,"harusnya ada arah coffe juga huhu. kopi ter friendly buat lambung menurut gua tu ya point, arah sama kopken",arah coffe huhu kopi ter friendly lambung tu point coffee arah kopi kenangan,positive
04/2024,"Kopken, janjiw manis bgt kaya orang lg minum gula. Kopi nako watery. Tommorow kopi all enak tp b aja. Point enak dan strong rekomen kl males manual brew. Fore enak dan manisnya pas tp kurang strong. Kalau mah creamy tp masih enak : Sapporo Kopi konnichiwa.",kopi kenangan janjiw manis banget kaya minum gula kopi nako watery tommorow kopi all enak b point coffee enak strong rekomen males manual brew fore enak manisnya pas strong mah creamy enak sapporo kopi konnichiwa,positive
04/2024,1. Tuku 2. Kopken 3. Point 4. Fami (ku taro terakhir bcs disini gaada),1 tuku 2 kopi kenangan 3 point coffee 4 fami ku taro bcs disini uang,negative
04/2024,kopken matcha latte less sugar enak bgt gaboong,kopi kenangan matcha latte gula enak banget gaboong,positive
04/2024,"kopi kenangan agak kurang Tomoro, fore, So-so aja. (kecuali kalo rasa tertentu enak bgt) Tuku emang seeenak itu. Kalo rela ngeluarin lebih coba Commonground karna enak bgt, lattenya tanpa gula udah manis bgt Yang jelas STARRBUCK GA PERLU DIBELI LAGIIII!! Sama cobain es kopis",kopi kenangan agak tomoro fore soso enak banget tuku seeenak rela ngeluarin coba commonground enak banget lattenya gula manis banget starrbuck dibeli lagiiii cobain es kopis,positive
04/2024,"Top List Perkopian Saya tapi gak head to head sih 1. Djournal, Double Shaken Espresso (Pahitnya dapet, Rasanya) 2. Fore, Berry Manuka Americano (Pahit seger asem) 3. Kopken, Ice Americano (Enak gk boong) 4. Kopi tuku, (Kopsus terdebest) 5. Semua Kopi V60 pake biji Puntang",top list perkopian gak head to head sih 1 djournal double shaken espresso pahitnya 2 fore berry manuka americano pahit seger asam 3 kopi kenangan ice americano enak gk boong 4 kopi tuku kopsus terdebest 5 kopi v60 pakai biji puntang,positive
04/2024,"1. Tuku (Kopsus Tetangga) 2. Fore (yg Mocha-nya) 3. Kopken (Kopsus Gula Aren, Mocha-nya) 4. Point Coffee (Kopi Baper yg botolan)",1 tuku kopsus tetangga 2 fore mochanya 3 kopi kenangan kopsus gula aren mochanya 4 point coffee coffee kopi baper botolan,positive
04/2024,Versi kopisusu no sugar: Jarang2 krn mahal & ga byk ketemu tokonya tp enak bgt: 1. Filosofi kopi 2. Arabica% Sehari2: 1. Kopi kenangan (kalo lagi mau light) 2. Tuku (kalo lg mau creamy) 3. Famima & point,versi kopisusu gula jarang2 mahal ketemu tokonya enak banget 1 filosofi kopi 2 arabica sehari2 1 kopi kenangan terang 2 tuku creamy 3 famima point coffee,positive
04/2024,Fore dan Kopi kenangan,fore kopi kenangan,positive
04/2024,"kopken, fore, janjiw (krn sering diskon)",kopi kenangan fore janjiw diskon,positive
04/2024,"Pilihannya: Point Coffee, Kopi Kenangan, Tomoro Coffee",pilihannya point coffee coffee kopi kenangan tomoro coffee,positive
04/2024,tapi kopken enak jg sie......,kopi kenangan enak sie,positive
04/2024,Sejauh ini masih kopi kenangan yg cocok sama selera akuu,kopi kenangan cocok selera akuu,positive
04/2024,knp byk yg ga suka janji jiwa pdhl itu fav gueh 2nd is kopken trs fore tp fore manis sih,suka janji jiwa pdhl favorit gueh 2nd is kopi kenangan fore fore manis sih,positive
04/2024,"kopken mantan, cukup ramah kantong+lumayan strong. Tp beli lgsg gede gini agak kureng rekomen krn esnya bakalan meleleh jd tastenya turun juga. Tp kalo beli yg kecil suka kurang, mau beli dua rada boncos ye shay mending gede sekalian",kopi kenangan ramah kantonglumayan strong beli gede gini agak kureng rekomen esnya meleleh tastenya turun beli kecil suka beli rada boncos ye shay gede,positive
04/2024,kalo matcha bestnya kopken nderrr,matcha bestnya kopi kenangan nderrr,positive
04/2024,"Memang makanya aku lebih suka punyanya kopken, udah enak murah lagi",memang suka punyanya kopi kenangan enak murah,positive
04/2024,Kopken jg enak nder,kopi kenangan enak,positive
04/2024,"kopken enak kak, matcha less sugar",kopi kenangan enak kak matcha gula,positive
04/2024,Nderr cobain matchanya kopken atau tomoro sajaahh lebih mantuls,nderr cobain matchanya kopi kenangan tomoro sajaahh mantuls,positive
04/2024,Mumpung lebaran nihh mending beli kopi favorit ku nihh Kopi kenangan caffe latte,lebaran nihh beli kopi favorit ku nihh kopi kenangan caffe latte,positive
04/2024,"Perjalanan mudik jadi lebih semangat dengan Kopken botol caffe latte di tangan. Kafeinnya pas, bikin mata melek dan hati senang sepanjang jalan",perjalanan mudik semangat kopi kenangan botol caffe latte tangan kafeinnya pas bikin mata melek hati senang jalan,positive
04/2024,"Kopken botol caffe latte selalu jadi teman setia saat lelah melanda. Sebotol langsung bikin refresh, mood booster abis",kopi kenangan botol caffe latte teman setia lelah melanda sebotol bikin refresh mood booster habis,positive
04/2024,"Kemanapun pergi, Kopken botol caffe latte jadi pilihan nomor satu buat teman perjalanan. Rasanya yang autentik bikin hari makin berwarna",kemanapun pergi kopi kenangan botol caffe latte pilihan nomor teman perjalanan autentik bikin berwarna,positive
04/2024,"variasi ini emang favorit buat aku, cocok aja rasanya di aku. Btw kopken botolan udh ada dri lama sygku",variasi favorit cocok ngomong-ngomong kopi kenangan botolan udah sygku,positive
04/2024,"betul, pernah beli dan enggak rugi jg sih jajan kopken coffe latte ini menurut ak worth it bgt",beli rugi sih jajan kopi kenangan coffe latte worth it banget,positive
04/2024,"waktu itu iseng beli kopinya kopken, ternyataa enakk polll. akhirnya skrg keterusan beli",iseng beli kopinya kopi kenangan ternyataa enakk polll keterusan beli,positive
04/2024,Enak dan pastinya murah kopken terbaik dah emang,enak pastinya murah kopi kenangan terbaik deh,positive
04/2024,"Kopi kenangan kok gak malu sih pake buzzer gini, kecewa deh w",kopi kenangan gak malu sih pakai buzzer gini kecewa deh,negative
04/2024,yg komen kopken keliatan buzzer bgt gasi kata” nya PUEBI bgt,komen kopi kenangan buzzer banget gasi nya puebi banget,positive
04/2024,"kopken botolann emg enakk nder tapi masih kemanisan buat aku ueueue, aku paling suka yg botolnya pink lupa namanya",kopi kenangan botolann memang enakk kemanisan ueueue suka botolnya pink lupa namanya,positive
04/2024,Aku minum kopi kenangan tpi rasane b aja,minum kopi kenangan rasane b,positive
04/2024,tipe matcha yg rumput kak dblg pait ga juga sih. mirip am matcha kopken tp versi creamy. kalo matcha point itu manis bgttt,tipe matcha rumput kak dblg pait sih mirip am matcha kopi kenangan versi creamy matcha point coffee manis bgttt,positive
04/2024,"wkwkwkwkw setuju bgt kak. kopinya kurang bgt kalo dibandingin ama point, kopken, atau fore. terus aku kan pernah coba beli minuman non coffeenya yg berry berry gitu, imo rasanya malah kek obat batuk",wkwkwkwkw setuju banget kak kopinya banget dibandingin point coffee kopi kenangan fore kan coba beli minuman non coffeenya berry berry imo obat batuk,negative
04/2024,"makanya disini udah sepi dan kalah saing bahkan ampe ada jilid yg bangkrut, aku lebih sering ke kopken karna deket dan selalu diskon pake blu. janjie tuh kyak terlalu gosong gitu manggang biji kopi nya jdi aromanya udah gada lagi, pdhal dlu langganan beli americano di mereka",disini sepi kalah saing ampe jilid bangkrut kopi kenangan deket diskon pakai blu janjie tuh kyak gosong manggang biji kopi nya aromanya gada pdhal langganan beli americano,positive
04/2024,Matcha kopi kenangan enak bgt anjrit gue pengen minta resep bubuk matchanya andaikan bisa... Tapi rahasia perusahaan tetaplah rahasia,matcha kopi kenangan enak banget anjing pengen resep bubuk matchanya andaikan rahasia perusahaan tetaplah rahasia,positive
04/2024,"Nih, aku biasanya kan beli kopken via goput nah kemarin ngide beli langsung sambil nunggu temenku. Pas ditanya mau ukuran apa aku jawab ‘yg gede kak’ trus kakaknya nanya sekali lagi kaya mastiin gitu, aku tetep jawab ‘iya yg gede’. Abistu pas bayar kok 38k pdhl setauku cuma 26k -",kan beli kopi kenangan via goput ngide beli nunggu temenku pas ditanya ukuran jawab gede kak kakaknya kaya mastiin tetep jawab iya gede abistu pas bayar 38k pdhl setauku 26k,negative
04/2024,kangen matcha kopken woyyy nih matcha swara alam 7/10,kangen matcha kopi kenangan woyyy matcha swara alam 710,positive
04/2024,es krim kopken hampir mirip sundae mekdi versi lebih soft(?),es krim kopi kenangan hampir mirip sundae mekdi versi soft,positive
04/2024,Ice americano no sugar normal ice atau kopi kenangan mantan less sugar less ice. Aku selalu pesen itu sih nder,ice americano gula normal ice kopi kenangan gula ice pesen sih,positive
