Date,Text,Text Normalization,Label_Bert
02/2024,"- Point coffee : cloud chocolate, chocolate frappe - Tomoro : matcha latte - Fore : belum pernah - Haus : baru sekali beli dan lupa pesen apa - Es.Teh Indonesia : chizu red velvet, es teh nusantara topping pudding",point coffee coffee cloud chocolate chocolate frappe tomoro matcha latte fore haus beli lupa pesen esteh indonesia chizu redaksi velvet es kakak perempuan nusantara topping pudding,positive
02/2024,"Point Coffee : caramel macchiato Tomoro : matcha latte Fore : ice pandan latte Haus : gak pernah nyoba soalnya gak ada di bali Es teh Indonesia : es teh Nusantara menunya basic"" tapi dah paling mantep dah well",point coffee coffee caramel macchiato tomoro matcha latte fore ice pandan latte haus gak nyoba gak bali es kakak perempuan indonesia es kakak perempuan nusantara menunya basic deh mantap deh well,positive
02/2024,"Gue nyoba yg latte tadi. Enak, tp bukan yg enak banget, tekstur biscoff kan ada krenyes2nya gt, tp aku prefer butterscotch lattenya fore sih.",nyoba latte enak enak banget tekstur biscoff kan krenyes2nya prefer butterscotch lattenya fore sih,positive
02/2024,"tomoro sama fore, americano nya enak bangeddd",tomoro fore americano nya enak bangeddd,positive
02/2024,"Point coffee : dolce , avocadoffee Tomoro: tomoro oat latte Fore: caramel praline, pandan latte (susu ganti multigrain) Haus: belum pernah Es teh indonesia: taro, redvelvet (chizunya paling endul) Semua nya less ice dan less sugar",point coffee coffee dolce avocadoffee tomoro tomoro oat latte fore caramel praline pandan latte susu ganti multigrain haus es kakak perempuan indonesia taro redvelvet chizunya endul nya ice gula,positive
02/2024,Semoga nanti tomoro dan fore ada di kotaku,semoga tomoro fore kotaku,neutral
02/2024,Klo sama fore sama yg bedain aku lbh pilih tomorow dari segi harga wkwkwk Bedain nya tomorow matcha nya lbh manis sedikit dari fore dan itu takaran pas untuk minuman buat org yg ga bener2 suka matcha (karna aslinya matcha emang pait) aku pribadi suka matcha yg cenderung manis,fore bedain lbh pilih tomorow segi harga wkwkwk bedain nya tomorow matcha nya lbh manis fore takaran pas minuman org bener2 suka matcha aslinya matcha pait pribadi suka matcha cenderung manis,positive
02/2024,"Sesuai harga sih ya, kalau yang Fore kopinya bener bener berasa, yang Point.....cuma menang manis aja menurutku :')",harga sih iya fore kopinya benar benar berasa pointcuma menang manis menurutku,positive
02/2024,Enakan mana sama punya fore?,enakan fore,negative
02/2024,"Wah menarikk. Pengen nyobain ke fore soalnya skrg tempatnya udh pada gede gitu kan, enak buat nongkrong aja, tapi sebenernya gasuka kopi wkwk. Ternyata ada pilihan ini",menarikk pengen nyobain fore tempatnya udah gede kan enak nongkrong sebenernya gasuka kopi wkwk pilihan,positive
02/2024,Aku klo beli fore atau cafe2 lain pesennya selalu yg non coffee kok soalnya punya maag,beli fore cafe2 pesennya non coffee maag,negative
02/2024,Udh 2x beli fore junior kenapa ga dapet stiker,udah 2x beli fore junior stiker,negative
02/2024,"mjb, ini klo misalnya beli minuman non coffee di fore, selalu ada tulisan fore junior?",mjb beli minuman non coffee fore tulisan fore junior,negative
02/2024,"Emgga kok kak.. fore punya menu non coffee (bukan yg junior), sm non coffee yg junior",emgga kak fore menu non coffee junior non coffee junior,neutral
02/2024,Loh semua kofisyop itu punya menu non coffee di fore jg banyak yg non coffee ga cuma yg junior,loh kofisyop menu non coffee fore non coffee junior,negative
02/2024,Aku beli fore junior karena yang gede hampir kopi semua atau coklat Stikernya aku balikin wk,beli fore junior gede hampir kopi coklat stikernya balikin wk,negative
02/2024,Kopi fore ni aman buat yg punya magh ga ya? Mau nyoba tp takut sakit perut,kopi fore aman magh iya nyoba takut sakit perut,negative
02/2024,Ke-kenapa ada Fore di waktu sahur? Jangan bilang itu isinya betulan Fore ....,kekenapa fore sahur bilang isinya betulan fore,negative
02/2024,"Yg udah nyoba bandingin sama Fore, enak mana guysszz",nyoba bandingin fore enak guysszz,positive
02/2024,"Alasan beli fore yang junior, biar dapet sticker. Itu aku",alasan beli fore junior biar sticker,negative
02/2024,Ngga pokonya enakan fore fix,pokonya enakan fore fix,negative
02/2024,bbrp hari yg lalu tpi emg fore ini foto minuman terakhir,bbrp memang fore foto minuman,neutral
03/2024,kopken sm point sih yg terbaik! kalo matchanya fore manis bgt meskipun dia less sugar,kopi kenangan point coffee sih terbaik matchanya fore manis banget meskipun gula,positive
03/2024,harus fore?,fore,negative
03/2024,"Kamu kayaknya suka pap Fore terus, kan??? @seuhngan",kayaknya suka pap fore kan,negative
03/2024,hari hari fore,fore,negative
03/2024,fore akhiri akhir ini suka titikkoma,fore akhiri suka titikkoma,positive
03/2024,fore caramel praline. sayang sekali aku harus ke kota besar buat beli kopi enih.,fore caramel praline sayang kota beli kopi enih,negative
03/2024,Jadi salah satu menu fav di fore,salah menu favorit fore,positive
03/2024,"Ini, tapi ga abis masih tetap fore di hati sama lidah",habis fore hati lidah,positive
03/2024,Fore yg seasalt latte belakang nya,fore seasalt latte belakang nya,neutral
03/2024,"Terakhir bgt ini mah tadi siang. Karna gabut, jd ngopi sambil baca buku nungguin flight yg masih 4 jam lagi. Tp ga berasa nunggunya karena smbil bacaa, seneng bgt deh ada Fore di T3 Soeta",banget mah siang gabut ngopi baca buku nungguin flight 4 jam berasa nunggunya smbil bacaa seneng banget deh fore t3 soeta,positive
03/2024,"padahal coklat enak loh nder, apalagi blend coklatnya fore",coklat enak loh blend coklatnya fore,positive
03/2024,"nder jgn makasain, tubuh org beda-beda tauuk. aku kemaren jg kepo sm kopinya fore tp karna ga kuat jd sampe muntah. dah kita minum matcha aja nder",makasain tubuh org bedabeda tauuk urusan kopinya fore kuat muntah deh minum matcha,negative
03/2024,"tp kalo emg bukan yg suka kopi gaakan suka americano dah, aku aja cuman doyan amerikano nya fore ajh",memang suka kopi gaakan suka americano deh cuman doyan amerikano nya fore,positive
03/2024,Aku masih kepo resep spill praline fore supaya aku ngga perlu beli lagi,urusan resep spill praline fore beli,neutral
03/2024,"Kalo beli yang fore junior dapet stiker kak, selagi persediaan masih ada",beli fore junior stiker kak persediaan,neutral
03/2024,iyaah strong di lambungnya kalo fore tuh. cma rasanya tetep manis balance,iyaah strong lambungnya fore tuh cma tetep manis balance,positive
03/2024,"Engga, sbg orang yang ga suka kopi strong ini favku di fore",engga sbg suka kopi strong favku fore,positive
03/2024,Pertama ke fore trs langsung coba ini malah jd ketagihan,fore coba ketagihan,positive
03/2024,fore gd yg strong,fore gd strong,neutral
03/2024,ga strong bgt tp ngefek bgt ke org yg punya asam lambung kek gue? tp ini wuenak puol fav kalo ke fore,strong banget ngefek banget org asam lambung wuenak puol favorit fore,positive
03/2024,"Enggak sih menurutku. Karna biasanya aku dagdigdug kalo minum kopi kafein tinggi, tapi kalo latte nya fore aku biasa aja",sih menurutku dagdigdug minum kopi kafein latte nya fore,negative
03/2024,"Kalau frappe di point indomaret, fore, tomoro ada kok, kalau di chatime & kopi kenangan juga ada yg teksturnya mirip tapi gapake whip cream",frappe point coffee indomaret fore tomoro chatime kopi kenangan teksturnya mirip gapake whip cream,positive
03/2024,point coffee nder enak! fore juga ada frappe nya,point coffee coffee enak fore frappe nya,positive
03/2024,ih iya niat beli fore hari ini knp malah beli tomoro ya…,ih iya niat beli fore beli tomoro iya,negative
03/2024,"menurutku strong sama engga nya tergantung masing2 orang sih. bagi org2 yang kuat kopi, fore ga berasa soalnya tp bagiku uda lumayan bikin degdegan",menurutku strong engga nya tergantung masing2 sih orang-orang kuat kopi fore berasa bagiku uda lumayan bikin degdegan,positive
03/2024,"ini enak, sejauh yg aku rasain. kopi fore ga ada yg strong, kecuali double iced shaken. itu aja pas ditambahin gula 10ml udah rada light. rata² fore aman kok buat yg mau ngopi tp ga suka yg kopi bgt. untuk kategori milk coffee yg espresso based fore favoritku bgt.",enak rasain kopi fore strong double iced shaken pas ditambahin gula 10ml rada terang fore aman ngopi suka kopi banget kategori milk coffee espresso based fore favoritku banget,positive
03/2024,"Aku lagi suka sama chocolatenya fore, enaaaa",suka chocolatenya fore enak,positive
03/2024,"Engga, menurutku kopinya ga yg kerasa bgt tp efeknya ada bgt, langsung melek sampe jam setengah 4. Beli fore pertama kali langsung belinya ini wkwk",engga menurutku kopinya kerasa banget efeknya banget melek jam 4 beli fore belinya wkwk,positive
03/2024,"Pernah ke fore cuma sekali, tpi ternyata yg tak pilih ini dan banyak org yg bilang ini paling enak. Kalo kataku enak si emang cuman kopinya mayan strong",fore pilih org bilang enak kataku enak si cuman kopinya mayan strong,positive
03/2024,Kopinya fore light semua kok termasuk americanonya.,kopinya fore terang americanonya,negative
03/2024,"aaa fore enak bgtt aku suka, tapi langsung kembung pusing lemesss nya dapet bgt",aaa fore enak bgtt suka kembung pusing lemesss nya banget,positive
03/2024,"fore tapi kalo mau yang lebiha affordable dan porsi melimpah, point coffee! tapi manis sekali dia tuh",fore lebiha affordable porsi melimpah point coffee coffee manis tuh,positive
03/2024,"Choco blend fore enak, tapi no coffee ya pure coklat aja",choco blend fore enak coffee iya pure coklat,positive
03/2024,di bungkus nasi rames telor sama satu kopi fore,bungkus nasi rames telor kopi fore,positive
03/2024,jgn lupa klo fore less sugar tambah enak,lupa fore gula enak,positive
03/2024,"Aku prefer Fore, nder. Kalau makanan keknya cheesecake enak deh",prefer fore makanan kayaknya cheesecake enak deh,positive
03/2024,?????? matos araya mbe ijen onok fore mas,matos araya mbe ijen onok fore mas,neutral
03/2024,kenapaa ya fore tidak kantong gweh friendly,kenapaa iya fore kantong gweh friendly,negative
03/2024,fore yg itu enak,fore enak,positive
03/2024,yang ditanya menu point coffee malah bandingin ama fore ya beda lah cok,ditanya menu point coffee coffee bandingin fore iya beda cok,negative
03/2024,"Ditanya menu indomaret point, malah bahas fore. Nyambung nya dimaneee",ditanya menu indomaret point coffee bahas fore nyambung nya dimaneee,negative
03/2024,ayo racuni aku terus dengan menu2 fore,ayo racuni menu2 fore,neutral
03/2024,okayy noted! akan ku coba menu2 fore rekomendasi netijen,okayy noted ku coba menu2 fore rekomendasi netijen,positive
03/2024,belom pernah nyoba fore,nyoba fore,neutral
03/2024,"Duh jadi pengen fore, besok ke fore apa ya..",aduh pengen fore besok fore iya,negative
03/2024,"tapi fore kemanisan buat aku, padahal selalu order less sugar",fore kemanisan order gula,positive
03/2024,Rekomendasi menu minuman fore yg enakk doong,rekomendasi menu minuman fore enakk doong,positive
03/2024,"Memang, barusan aku jg beli ituuu. Hazelnut fore jg enaaakkk",memang barusan beli ituuu hazelnut fore enaaakkk,positive
03/2024,"Iyaa. Temen gue yg mau beli fore mikir2 karena gak terlalu suka kopi, pas nyoba ini langsung; gue akan selalu beli ini kalo ke fore",iyaa teman beli fore mikir2 gak suka kopi pas nyoba beli fore,positive
03/2024,Fore emg seenak itu,fore memang seenak,negative
03/2024,aku closingan pake ini mulu skrng jd kangen fore,closingan pakai melulu skrng kangen fore,negative
03/2024,yaAllah jadi pengen fore…,yaallah pengen fore,negative
03/2024,"manis asin terus ada kres kres dari crumblenya wkwk. kopinya ga pekat bgt sih kalo yg varian ini. kalo gasuka kopi beli fore kids ajaa itu gada kopinya, dan rasanya ga jauh beda kok. sama-sama enak",manis asin kres kres crumblenya wkwk kopinya pekat banget sih varian gasuka kopi beli fore kids ajaa gada kopinya beda samasama enak,positive
03/2024,"kalo yg tiramisu blm nyoba soalnya harganya aga pricey KWKWKWWK tp kuyyy nyobainn, di bogor tuh ada fore gasi??",tiramisu nyoba harganya aga pricey kwkwkwwk kuyyy nyobainn bogor tuh fore gasi,positive
03/2024,"imo enggaa si, aku yg itungannya gabisa minum kopi aja bisa kok minum fore yg large sendirian",imo enggaa si itungannya gabisa minum kopi minum fore large,negative
03/2024,Kuakui ini terwenak di fore!,kuakui terwenak fore,positive
03/2024,Butterscotch sea salt nya fore memang enak bgttt,butterscotch sea salt nya fore memang enak bgttt,positive
03/2024,Masih jadi menu paling atas kalo gue ke fore,menu fore,positive
03/2024,emang seenak itu seasalt latte nya fore,seenak seasalt latte nya fore,positive
03/2024,"Lebih strong tuku, fore b aja di aku padahal aku punya gerd",strong tuku fore b gerd,positive
03/2024,menurutku fore tuhh hampir semua menu nya enaak dan harga nya masih tergolong muraah mana tempat nya juga bagus kan,menurutku fore tuhh hampir menu nya enaak harga nya tergolong muraah nya bagus kan,positive
03/2024,gw udh brp minggu ya gak minum fore,udah iya gak minum fore,negative
03/2024,Gaada yg gagal sih fore,uang gagal sih fore,negative
03/2024,"pgn fore lg, tpi gada tmn ke fore @ionays1",fore gada tmn fore,neutral
03/2024,sedih bgt bacanya nanti kita rutin ke fore kalo dah kerja,sedih banget bacanya rutin fore deh kerja,negative
03/2024,"Fore itu kopi ter-light dibanding franchise kopi2 lainnya, apalagi kalo beli yg varian manis (kek difoto) malah dominan manisnya drpd paitnya, dan dia paitnya bukan yg asem gitu loh, kalo mau berasa kopinya biasanya harus pesen less sugar+1 shot espresso",fore kopi terlight dibanding franchise kopi2 beli varian manis difoto dominan manisnya paitnya paitnya asam loh berasa kopinya pesen sugar1 shot espresso,positive
03/2024,AAAA MAU FORE LAGI,aaaa fore,negative
03/2024,Iya nder. Pernah pas perut lagi kosong trus minum kopinya fore mules padahal biasanya aku ngopi sebelum makan fine2 aja tuh.,iya pas perut kosong minum kopinya fore mules ngopi makan fine2 tuh,negative
03/2024,ENAKK BANGETT INI TOP 1 FORE,enakk bangett top 1 fore,positive
03/2024,"Gatau, gapernah ngopi di fore",gatau gapernah ngopi fore,negative
03/2024,Aaaaaaaaaaaa kangen fore serang cilegon gada yg mo jd investor franchise ni brand apa,aaaaaaaaaaaa kangen fore serang cilegon gada investor franchise brand,positive
03/2024,semua jenis kopi di fore best bgt asli!!,kopi fore best banget asli,positive
03/2024,"Menurut ku kalo dibandingin kopi tekun, lebih strong yg tekun. Minum fore aku biasa aja, tapi kalo yg tekun suka langsung sesek & mual. Tapi enak dua2nya",ku dibandingin kopi tekun strong tekun minum fore tekun suka sesek mual enak dua2nya,positive
03/2024,Disini mana ada fore anjerrrrrnjjkkk,disini fore anjerrrrrnjjkkk,negative
03/2024,sedih bgt diaku fore udah tutup :(,sedih banget diaku fore tutup,negative
03/2024,Aku punya aslam tapi minum fore tuh gak bikin kumat si. Tapi beda-besa sih di tiap orang,asam lambung minum fore tuh gak bikin kumat si bedabesa sih,positive
03/2024,"jujur di aku iyaa, beres minum fore abistu tremor, debar sampe muntah note, aku emg ga gitu kuat sm kopi",jujur iyaa beres minum fore abistu tremor debar muntah note memang kuat kopi,negative
03/2024,@brokenstereeo kangen fore kangen kamu,kangen fore kangen,positive
03/2024,fore emang nomor satu,fore nomor,positive
03/2024,fore kopi titisan surga,fore kopi titisan surga,positive
03/2024,Fore di aku aman aman aja kak,fore aman aman kak,positive
03/2024,eh bjir lupa beli fore,eh bjir lupa beli fore,negative
03/2024,"Ditempat biasa aku beli fore juga cashless, non coffeenya wajib bgt cobain matcha latte, matcha latte fore tu enak bgt bgt bgtttttt",ditempat beli fore cashless non coffeenya wajib banget cobain matcha latte matcha latte fore tu enak banget banget bgtttttt,positive
03/2024,"Keinget beli es buah kasihan ibunya sepi, gataunya 10rb buat uk segelas kopi fore reguler lagi buahnya juga dikit",keinget beli es buah kasihan ibunya sepi gataunya 10rb uk segelas kopi fore reguler buahnya dikit,negative
03/2024,Senangnya bisa dapet kopi gratis dari fore,senangnya kopi gratis fore,positive
03/2024,"semalem sebenernya abis minum fore, tapi gak difoto",semalem sebenernya habis minum fore gak difoto,negative
03/2024,duh ga dipap pdhl enak bgt vibesnya ngopi fore tp ditakeway dan minum duduk di trotoar sambil sharing masalah idup ke doi huaaaaa nyaman bgt itu jiakh,aduh dipap pdhl enak banget vibesnya ngopi fore ditakeway minum duduk trotoar sharing idup doi huaaaaa nyaman banget jiakh,positive
03/2024,"Fore butterscotch enakk, 1st try. Pengen coba varian lain tp deket sini gaada fore:((",fore butterscotch enakk 1st try pengen coba varian deket uang fore,positive
03/2024,"Pertama kali cobain tomoro, ternyata aku lebih suka fore",cobain tomoro suka fore,positive
03/2024,"Terakhir ngopi sebelum puasa, ini juga ngeredeem gratisan birthday gift dr FORE Kalo pas puasa ga berani ngopi :)",ngopi puasa ngeredeem gratisan birthday gift dr fore pas puasa berani ngopi,neutral
03/2024,Macha fore sedunia berapa kak?,macha fore sedunia kak,negative
03/2024,Kak kopi fore yg enak menurut Kaka apa?,kak kopi fore enak kakak,positive
03/2024,Jadi pengen fore,pengen fore,negative
03/2024,Belum menyelami fore banget sebenernya tapi so far suka sama caramel praline macchiato dan buttercream lattenya,menyelami fore banget sebenernya so far suka caramel praline macchiato buttercream lattenya,positive
03/2024,"Pas banget di Fore ada voucher birthday Ku claim, Untung masih keburu jdi buru"" ambil",pas banget fore voucher birthday ku claim untung terlanjur buru ambil,positive
03/2024,Ultah dulu terus klaim Birthday reward lewat app fore,ulang klaim birthday reward app fore,neutral
03/2024,"udah nder, kemaren abis beli paket hampersnya fore",habis beli paket hampersnya fore,negative
03/2024,Tetep lebih enak pandan latte nya fore,tetep enak pandan latte nya fore,positive
04/2024,Samaa. Jkt ada sih tp selalu rame mager ngantri jd so far fore masih terbaique.,samaa jakarta sih ramai mager mengantri so far fore terbaique,positive
04/2024,"Fore, Point Coffee, Kopi Kenangan. Dan Kopi Liong Bulan",fore point coffee coffee kopi kenangan kopi liong,positive
04/2024,Tuku Fore Point,tuku fore point coffee,negative
04/2024,Point. Karna belum nyobain fore,point coffee nyobain fore,negative
04/2024,Fore atau point tapi kalian juga kudu nyobain kopi tetangga sebelah,fore point coffee nyobain kopi tetangga sebelah,positive
04/2024,Tuku dan Fore,tuku fore,positive
04/2024,"tahta tertinggi masih kopi xxx3 , fore, dan point coffe",tahta tertinggi kopi xxx3 fore point coffee coffe,neutral
04/2024,"famima, tuku, fore, point",famima tuku fore point coffee,neutral
04/2024,1. fore 2. tuku 3. point 4. famima,1 fore 2 tuku 3 point coffee 4 famima,neutral
04/2024,"tuku, fore",tuku fore,neutral
04/2024,"tuku, point, fore",tuku point coffee fore,negative
04/2024,janji jiwa dan fore,janji jiwa fore,positive
04/2024,"Kalo dari foto ini, Top 3 versi aku: - Fore (butterscotch sea salt latter) - Janjiw (kopsus sahabat) - Tuku (kopsus tetangga, extra susu)",foto top 3 versi fore butterscotch sea salt latter janjiw kopsus sahabat tuku kopsus tetangga extra susu,positive
04/2024,Sejauh ini lebih suka 1.Tuku 2.Fore 3. Famima,suka 1tuku 2fore 3 famima,positive
04/2024,fore sama tuku pls aku cinta padamu!!,fore tuku pls cinta padamu,positive
04/2024,1. Fore 2. point 3. kopken 4. Kopi soe 5. Janjiw,1 fore 2 point coffee 3 kopi kenangan 4 kopi soe 5 janjiw,negative
04/2024,Tuku Fore Kopi soe/KULO Point Tomoro,tuku fore kopi soekulo point coffee tomoro,positive
04/2024,"fore, tuku",fore tuku,negative
04/2024,Kopi kenangan dan fore,kopi kenangan fore,positive
04/2024,"bukan coffee addict, tapi suka point yang ocean blue latte, fore butterscotch sea salt, pokonya yg gak strong amat kopinya wkwk",coffee addict suka point coffee ocean blue latte fore butterscotch sea salt pokonya gak strong kopinya wkwk,positive
04/2024,"fore, apalagi butterscotch sea saltnya",fore butterscotch sea saltnya,positive
04/2024,tuku fore % blom pernah,tuku fore blom,negative
04/2024,Belum coba semua tapi aku paling suka fore dan janjiw. Kalo tomoro lebih ke matchanya sih,coba suka fore janjiw tomoro matchanya sih,positive
04/2024,"Famima buat yg murah , tuku tengah2, lil bit price fore",famima murah tuku tengah2 lil bit price fore,neutral
04/2024,TUKU DAN FORE!!!!!! CINTA BANGET,tuku fore cinta banget,positive
04/2024,Selain Arabika dan Tomoro udh pernah coba semua tetep yang terbaek adalah Fore,arabika tomoro udah coba tetep terbaek fore,positive
04/2024,Urutannya Tuku - Fore - Kopken - % - Tomoro,urutannya tuku fore kopi kenangan tomoro,neutral
04/2024,"dari segi harga & rasa, konsistensi rasa : kopken fore suka jg tapi lebih mahal nako lumayan enak soe, kulo, janji jiwa, famima ga suka tuku terlalu light dan dominan susu aja point malah blm nyoba arabica blm krn mahal",segi harga konsistensi kopi kenangan fore suka mahal nako lumayan enak soe kulo janji jiwa famima suka tuku terang dominan susu point coffee nyoba arabica mahal,positive
04/2024,"Tuku, fore, point, kopken, tomoro. Kalo arabica % baru pernah nyobain coffee soft ice cream, tapi itu enak sih",tuku fore point coffee kopi kenangan tomoro arabica nyobain coffee soft ice cream enak sih,positive
04/2024,"Kalo yg digambar sih best of 3 nya: fore, tuku, kopken",digambar sih best of 3 nya fore tuku kopi kenangan,positive
04/2024,"ak belum nyoba tuku,nako,sama tomoro kata org itu enak tp saat ini fore yg pling enak",nyoba tukunakosama tomoro org enak fore pling enak,positive
04/2024,"tuku, fore, tomoro <3",tuku fore tomoro 3,negative
04/2024,"tuku, point kopi, dan fore.",tuku point coffee kopi fore,positive
04/2024,"tuku, fore, sm kopken. kalo yg gaada difoto pilona sm kemenangan. btw blm nyoba arabica euy",tuku fore kopi kenangan uang difoto pilona kemenangan ngomong-ngomong nyoba arabica euy,positive
04/2024,"pilih fore, kedua point. Kulo udah lupa rasanya udah tutup ditempatkuuu",pilih fore point coffee kulo lupa tutup ditempatkuuu,negative
04/2024,fore dan tuku,fore tuku,positive
04/2024,"tuku, fore dan tomoro",tuku fore tomoro,positive
04/2024,"Fore, point, janjiw, kenangan, tuku GABISA MILIH",fore point coffee janjiw kenangan tuku gabisa milih,negative
04/2024,"kopken,fore,janjiw",kopkenforejanjiw,neutral
04/2024,fore sama point arabica juga de,fore point coffee arabica adik,neutral
04/2024,tuku fore,tuku fore,negative
04/2024,fore mantep bgt,fore mantap banget,positive
04/2024,"tuku, kopken, fore, tpi klo yg manis2 creamy gitu point sih",tuku kopi kenangan fore manis2 creamy point coffee sih,positive
04/2024,"imo 1. fore, 2. point, 3. tuku",imo 1 fore 2 point coffee 3 tuku,negative
04/2024,1. Tuku 2. Fore 3. Poin Coffee 4. Kopken 5. Tomoro 6. Nako 7. Janji Jiwa,1 tuku 2 fore 3 poin coffee 4 kopi kenangan 5 tomoro 6 nako 7 janji jiwa,positive
04/2024,"Kalo milih tuku the best, fore butterscotch nya woww tp mahal, point enak banget tp ada yg LBH murahan, yg lain nothing spesial, jj kalo promo rasanya beda",milih tuku best fore butterscotch nya woww mahal point coffee enak banget lbh murahan nothing spesial jj promo beda,positive
04/2024,Fore udah ngepasss bgt dah,fore ngepasss banget deh,negative
04/2024,"Fore sih terbaik, cuma janji jiwa sama tuku juga enak apalagi budgetnya murce",fore sih terbaik janji jiwa tuku enak budgetnya murce,positive
04/2024,Fore sm KOi,fore koi,negative
04/2024,"Point, tuku, fore, kopken, jokopi duabestttt",point coffee tuku fore kopi kenangan jokopi duabestttt,neutral
04/2024,"Kopi kenangan, Fore, point coffee",kopi kenangan fore point coffee coffee,positive
04/2024,"aku baru coba fore tuku kopken point kulo tomoro, can not choose tp paling sering belinya kopken so maybe kopken is my current fav",coba fore tuku kopi kenangan point coffee kulo tomoro not choose belinya kopi kenangan so maybe kopi kenangan is my current favorit,positive
04/2024,"family mart, fore, point coffee ITU FAV AKU",family mart fore point coffee coffee favorit,neutral
04/2024,Urutan selera gua; -Janjiw -Tomoro -Fore -Point -Family -Kopken Sisanya antara belum nyoba atau udah lupa saking lamanya ga nyoba,urutan selera janjiw tomoro fore point coffee family kopi kenangan sisanya nyoba lupa saking nyoba,positive
04/2024,"arabica, tuku, fore, point. tp seringnya point karna ada dimana mana wkwk",arabica tuku fore point coffee point coffee wkwk,positive
04/2024,"kopken fore point tuku, kulo, fami kemanisan janjiw zonk",kopi kenangan fore point coffee tuku kulo fami kemanisan janjiw bodoh,neutral
04/2024,"Kopken sama fore, fore strong bgt bikin gw ga bisa tidur. Kalo kopken ga se strong fore, 2 kopi ini mantep kalo di minum buat perjalanan jauh biar ga ngantuk",kopi kenangan fore fore strong banget bikin tidur kopi kenangan strong fore 2 kopi mantap minum perjalanan biar ngantuk,positive
04/2024,fore. tapi buat americano janji jiwa sih juara,fore americano janji jiwa sih juara,negative
04/2024,"fore!!!!!! tapi kalo liat harga juga, tuku siiii...",fore lihat harga tuku siiii,negative
04/2024,"fore, tuku, ksk, kopken, animo urutab strong ke low kopi",fore tuku ksk kopi kenangan animo urutab strong kopi,neutral
04/2024,"fore, makmur, point coffee, tuku, nako, janjiw, kopken",fore makmur point coffee coffee tuku nako janjiw kopi kenangan,positive
04/2024,pointtt... tp nlm tau fore enak ga si ktnya enak,pointtt nlm fore enak si ktnya enak,negative
04/2024,"Belum nyoba semua sih, tapi sejauh ini aku suka fore",nyoba sih suka fore,positive
04/2024,"fore, kopken, point kadang enak kadang engga",fore kopi kenangan point coffee kadang enak kadang engga,positive
04/2024,"tuku, fore, ksk, point",tuku fore ksk point coffee,neutral
04/2024,saat ini masih fore dan point sih,fore point coffee sih,positive
04/2024,"fore kalo lagi pengen kopi yang creamy dan manis, kopken kalo lagi pengen yang kopinya kerasa bgt (juwara beansnya ), point kalo pengen kombinasi keduanya",fore pengen kopi creamy manis kopi kenangan pengen kopinya kerasa banget juwara beansnya point coffee pengen kombinasi keduanya,positive
04/2024,"fore, kopken, point, janjiw (mw coba tuku tp blm kesampeannn hiks)",fore kopi kenangan point coffee janjiw now watching coba tuku kesampeannn hiks,negative
04/2024,"Tuku yg kopi tetangga, kopken yg kenangan mantan, fore yg americano triple peach/berry manuka",tuku kopi tetangga kopi kenangan kenangan fore americano triple peachberry manuka,positive
04/2024,"cuma bisa toleransi kopi tuku sama fore, selain itu gasuka kopinya soalnya ngerasa paitt",toleransi kopi tuku fore gasuka kopinya ngerasa paitt,positive
04/2024,"Fore, tuku, point, tomoro",fore tuku point coffee tomoro,neutral
04/2024,Point coffee sama Fore duo terbaik,point coffee coffee fore duo terbaik,positive
04/2024,Point sama fore si terbaik,point coffee fore si terbaik,positive
04/2024,"top tier fore/point, opsi lain bisa kopken/janjiw, tuku/arabica blm pernah nyoba blom ada juga, sisanya ga masuk seleraku",top tier forepoint opsi kopkenjanjiw tukuarabica nyoba blom sisanya masuk seleraku,negative
04/2024,"tuku, kopken, point sm fore enak juga tapi msh kurang strong kopinya kalo ga add shot",tuku kopi kenangan point coffee fore enak strong kopinya add shot,positive
04/2024,"tuku, fore, point, famima",tuku fore point coffee famima,neutral
04/2024,"fore, tuku, point karena suka yg manis manis",fore tuku point coffee suka manis manis,positive
04/2024,"Tuku, fore, famima",tuku fore famima,neutral
04/2024,"Opsi jajan kopiku di Bandung masih fore/kopken. Tuku, kopi soe sama %Arabica cuma pernah nyoba sekali kopinya tapi suka jugaa",opsi jajan kopiku bandung forekopken tuku kopi soe arabica nyoba kopinya suka jugaa,positive
04/2024,"fore donggg, yg tuku dr dlu pen coba belum kesampean",fore donggg tuku dr pengen coba kesampean,negative
04/2024,"Tuku, fore, kenangan, & point cafe (tapi lebih suka yg kopi sakunya )",tuku fore kenangan point coffee cafe suka kopi sakunya,positive
04/2024,Arabica best of best tapi fore juga dah okeee bangettt,arabica best of best fore deh okeee bangettt,positive
04/2024,tuku & fore da best,tuku fore da best,positive
04/2024,aku sih fore,sih fore,negative
04/2024,"Baru pernah coba point, fore, janjiw, sm tomoro. Klo soal kopinya enak janjiw",coba point coffee fore janjiw tomoro kopinya enak janjiw,positive
04/2024,ajg gua jatuh cinta banget sama fore demi,ajg jatuh cinta banget fore,positive
04/2024,Tuku sm fore sih,tuku fore sih,negative
04/2024,"Kopken, tuku, fore, & point",kopi kenangan tuku fore point coffee,neutral
04/2024,"fore, tuku, tomoro",fore tuku tomoro,neutral
04/2024,"sejauh ini point dan fore aman di lidah, lambung dan dompet",point coffee fore aman lidah lambung dompet,positive
04/2024,"Kopken, tapi kalo lagi ada uang lebih pasti beli fore",kopi kenangan uang beli fore,positive
